listing_number,href,image_url
T4389016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/fairland/1-shabern-mews/10-46-johannes-street/T4389016,https://helium.privateproperty.co.za/live-za-images/property/1670/44/9989670/images/property-9989670-49368986_e.jpg
T4389016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/fairland/1-shabern-mews/10-46-johannes-street/T4389016,https://helium.privateproperty.co.za/live-za-images/property/1670/44/9989670/images/property-9989670-33194446_e.jpg
T4389016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/fairland/1-shabern-mews/10-46-johannes-street/T4389016,https://helium.privateproperty.co.za/live-za-images/property/1670/44/9989670/images/property-9989670-47311238_e.jpg
T4389016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/fairland/1-shabern-mews/10-46-johannes-street/T4389016,https://helium.privateproperty.co.za/live-za-images/property/1670/44/9989670/images/property-9989670-2787960_e.jpg
T4389016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/fairland/1-shabern-mews/10-46-johannes-street/T4389016,https://helium.privateproperty.co.za/live-za-images/property/1670/44/9989670/images/property-9989670-94074439_e.jpg
T4389016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/fairland/1-shabern-mews/10-46-johannes-street/T4389016,https://helium.privateproperty.co.za/live-za-images/property/1670/44/9989670/images/property-9989670-57762701_e.jpg
T4389016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/fairland/1-shabern-mews/10-46-johannes-street/T4389016,https://helium.privateproperty.co.za/live-za-images/property/1670/44/9989670/images/property-9989670-3805133_e.jpg
T4389016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/fairland/1-shabern-mews/10-46-johannes-street/T4389016,https://helium.privateproperty.co.za/live-za-images/property/1670/44/9989670/images/property-9989670-31608463_e.jpg
T4389016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/fairland/1-shabern-mews/10-46-johannes-street/T4389016,https://helium.privateproperty.co.za/live-za-images/property/1670/44/9989670/images/property-9989670-91694850_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-8871367_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-2495846_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-66929354_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-33187026_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-94092919_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-44079923_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-29202559_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-76356822_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-33458936_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-17912583_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-64027537_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-77633586_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-6642257_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-96939451_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-3019214_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-23199742_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-44790972_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-48709365_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-82154379_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-99339836_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-8871367_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-2495846_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-66929354_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-33187026_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-94092919_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-44079923_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-29202559_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-76356822_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-33458936_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-17912583_e.jpg
T4522186,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/2-ss-marulas-1/17-jacaranda-avenue/T4522186,https://helium.privateproperty.co.za/live-za-images/property/599/7/10214599/images/property-10214599-64027537_e.jpg
