title,href,price,property_type
1 Bed Apartment in Broadacres,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/broadacres/24a-ferngate-complex/10-gateside-avenue/T3429436,R 480 000,Apartment
3 Bed Townhouse in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/19-agulas-road/T3502135,R 480 000,Townhouse
2 Bed Apartment in Dainfern,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/dainfern/1-cranesriverside/4782-pigwood-crescent/T4070707,R 484 800,Apartment
2 Bed Apartment in Dainfern,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/dainfern/herons/18-barn-owl-crescent/T3668790,R 488 550,Apartment
2 Bed Apartment in Dainfern,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/dainfern/090-pigwood-crescent/T4118918,R 489 800,Apartment
1 Bed Apartment in Douglasdale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/douglasdale/aaa-douglasdale-retirement-village/28-galloway-avenue/T4504751,R 500 000,Apartment
5 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/82-kloof-road/T4126838,On Auction,House
Studio apartment in Meadowbrook,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/meadowbrook/b-eden-village/11-maragaret-street/T4247243,R 220 000,Studio
1 Bed Apartment in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T3422579,R 402 800,Apartment
Studio Apartment in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4394782,R 410 000,Apartment
1 Bed Apartment in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4401044,R 490 000,Apartment
1.5 Bed Apartment in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4397884,R 495 000,Apartment
1.5 Bed Apartment in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4455334,R 495 000,Apartment
1 Bed Townhouse in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T3888065,R 499 000,Townhouse
1 Bed Apartment in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4391492,R 500 000,Apartment
1.5 Bed Duplex in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4351530,R 519 000,Duplex
1.5 Bed Duplex in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4351532,R 519 000,Duplex
1.5 Bed Apartment in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4351557,R 525 000,Apartment
1 Bed Apartment in Morninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/morninghill/3-sugarbush-road/T4525758,R 550 000,Apartment
1 Bed Apartment in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T3858735,R 550 000,Apartment
1 Bed Apartment in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4374733,R 550 000,Apartment
1 Bed House in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4395736,R 570 000,House
1 Bed Apartment in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/403-ss-doonside-kingsborough/5-leicester-road/T4171015,R 575 000,Apartment
1 Bed Townhouse in Morninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/morninghill/30-la-monmart/3-sugarbush-road/T4306592,R 579 000,Townhouse
1 Bed Townhouse in Morninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/morninghill/T4400922,R 579 000,Townhouse
1 Bed Apartment in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4514625,R 580 000,Apartment
4 Bed House in Inanda,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/inanda/1-thornfield-hall/70-sixth-avenue/T4352506,On Auction,House
4 Bed Cluster in Bryanston,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/T4538472,R 50 000,Cluster
2 Bed House in Eastgate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/kelvin/T4388036,R 190 000,House
Studio apartment in Bryanston,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/T4409966,R 400 000,Studio
1 Bed Apartment in Bryanston,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/48-baccarat-lodge/26-cedar/T4341974,Sold,Apartment
1 Bed Apartment in Bryanston West,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston-west/T4488089,R 415 000,Apartment
1 Bed Apartment in Buccleuch,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/buccleuch/T4344495,R 429 000,Apartment
1 Bed Apartment in Bryanston,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/11-baccarat-lodge/26-cedar-street/T4454242,R 440 000,Apartment
1 Bed Apartment in Buccleuch,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/buccleuch/T4524782,R 449 000,Apartment
1 Bed Apartment in Buccleuch,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/buccleuch/37-heranshaw/11-gibson-drive-west/T4456522,R 495 000,Apartment
1 Bed Townhouse in Rembrandt Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/rembrandt-park/T4326625,R 495 000,Townhouse
1 Bed Apartment in Buccleuch,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/buccleuch/47-heronshaw-village/11-gibson-drive/T4358236,R 499 000,Apartment
1 Bed Apartment in Buccleuch,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/buccleuch/44-heronshaw/11-gibson-drive-west/T4343056,R 499 000,Apartment
1 Bed Apartment in Bryanston,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/T4241285,R 499 000,Apartment
2 Bed Apartment in Buccleuch,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/buccleuch/T4489787,R 499 999,Apartment
1 Bed Apartment in Bryanston West,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston-west/79-baccarat-lodge/26-cedar-street/T3432168,R 500 000,Apartment
1 Bed Apartment in Bryanston East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/T4453412,R 500 000,Apartment
