Unnamed: 0,Title,Href,Bedrooms,Bathrooms,Lounges,Kitchen,Main Value 3,Price,Floor Area,Province,City,Suburb,Area,Price per Sqm,Type,Max Price,Max Price Href,Potential Profit
4707,3 Bed Townhouse in Winchester Hills,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/winchester-hills/74-winchester-peaks/39-frangipani-street/T4330171,3.0,2.0,1.0,1.0,LevyR 3048,1499999.0,133.0,gauteng,johannesburg,johannesburg-south,winchester-hills,11278.187969924813,,1499999.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/winchester-hills/74-winchester-peaks/39-frangipani-street/T4330171,0.0
4298,3 Bed Townhouse in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/1-waterfront-mews/6-amanda-st/T4334528,3.0,2.0,1.0,,LevyR 1300,925000.0,82.0,gauteng,johannesburg,johannesburg-south,oakdene,11280.487804878048,,1399000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/41-waterfront-mews/8-amanda-avenue/T4404675,474000.0
6607,2 Bed House in Sky City,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/sky-city/T4377682,2.0,1.0,1.0,,RatesR 600,790000.0,70.0,gauteng,johannesburg,johannesburg-south,sky-city,11285.714285714286,House,790000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/sky-city/T4377682,0.0
7104,2 Bed Townhouse in Bassonia,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4460277,2.0,2.0,1.0,,LevyR 2375,1050000.0,93.0,gauteng,johannesburg,johannesburg-south,bassonia,11290.322580645161,,1050000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4460277,0.0
4058,2 Bed Townhouse in Mondeor,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mondeor/35-ss-lake-mondeor/49-john-masefield-drive/T4420530,2.0,1.0,1.0,,RatesR 259,700000.0,62.0,gauteng,johannesburg,johannesburg-south,mondeor,11290.322580645161,,700000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mondeor/35-ss-lake-mondeor/49-john-masefield-drive/T4420530,0.0
7106,2 Bed Townhouse in Bassonia,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4449207,2.0,2.0,1.0,1.0,RatesR 993,1050000.0,93.0,gauteng,johannesburg,johannesburg-south,bassonia,11290.322580645161,,1050000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4460277,0.0
7107,2 Bed Townhouse in Bassonia,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4445824,2.0,2.0,1.0,1.0,LevyR 2375,1050000.0,93.0,gauteng,johannesburg,johannesburg-south,bassonia,11290.322580645161,,1050000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4460277,0.0
7108,2 Bed Townhouse in Bassonia,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4444417,2.0,2.0,1.0,1.0,LevyR 2375,1050000.0,93.0,gauteng,johannesburg,johannesburg-south,bassonia,11290.322580645161,,1050000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4460277,0.0
7109,2 Bed Townhouse in Bassonia,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4442071,2.0,2.0,,1.0,LevyR 2375,1050000.0,93.0,gauteng,johannesburg,johannesburg-south,bassonia,11290.322580645161,,1050000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4460277,0.0
6363,2 Bed Townhouse in Meredale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/meredale/T4444791,2.0,1.0,1.0,1.0,LevyR 760,690000.0,61.0,gauteng,johannesburg,johannesburg-south,meredale,11311.475409836066,,700000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/meredale/T4524442,10000.0
6106,2 Bed Townhouse in South Hills,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/south-hills/T4430314,2.0,1.0,1.0,1.0,RatesR 250,430000.0,38.0,gauteng,johannesburg,johannesburg-south,south-hills,11315.78947368421,,530000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/south-hills/4-marula-lofts/417-spiderhead-road/T4403575,100000.0
5429,3 Bed House in Sky City,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/sky-city/9080-sky-city/9080-retro-rd/T4360769,3.0,2.0,1.0,1.0,RatesR 300,905450.0,80.0,gauteng,johannesburg,johannesburg-south,sky-city,11318.125,House,1250000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/sky-city/T4477390,344550.0
3948,2 Bed Apartment in Ormonde,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ormonde/7-gold-reef-sands/106-northern-park-way/T4500854,2.0,1.0,1.0,,LevyR 631,599999.0,53.0,gauteng,johannesburg,johannesburg-south,ormonde,11320.735849056604,Apartment,,,
8672,3 Bed House in Glenvista,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/glenvista/T4392328,3.0,2.0,1.0,1.0,,1699999.0,150.0,gauteng,johannesburg,johannesburg-south,glenvista,11333.326666666666,House,1699999.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/glenvista/T4392328,0.0
8105,1 Bed Townhouse in Ormonde,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ormonde/T4366471,1.0,1.0,1.0,1.0,,680000.0,60.0,gauteng,johannesburg,johannesburg-south,ormonde,11333.333333333334,,680000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ormonde/T4366471,0.0
4003,2 Bed Townhouse in Forest Hill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/forest-hill/14-forest-glen/37-carter-street/T4377609,2.0,1.0,1.0,1.0,RatesR 172,646000.0,57.0,gauteng,johannesburg,johannesburg-south,forest-hill,11333.333333333334,,646000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/forest-hill/14-forest-glen/37-carter-street/T4377609,0.0
4212,3 Bed House in Ap Khumalo,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/792-mukhari/T4254614,3.0,1.0,1.0,,RatesR 450,850000.0,75.0,gauteng,johannesburg,johannesburg-south,katlehong,11333.333333333334,House,850000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/792-mukhari/T4254614,0.0
4205,3 Bed Townhouse in Elandspark,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/elandspark/25-elands-rock/13-reedbuck/T4365470,3.0,2.0,1.0,1.0,RatesR 265,850000.0,75.0,gauteng,johannesburg,johannesburg-south,elandspark,11333.333333333334,,850000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/elandspark/25-elands-rock/13-reedbuck/T4365470,0.0
