Area,,Title,Href,Bedrooms,Bathrooms,Lounges,Main Value 3,Price,Dining Areas,Pool,Floor Area,Land Area,Province,City,Suburb,Area,Price per Sqm,Price per Land Area,Type,Max Price,Max Price Href,Potential Profit
benmore-gardens,4485,4 Bed House in Benmore Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/a06-mill-place/T4479901,4.0,4.5,2.0,RatesR 3100,7490000.0,1.0,1.0,450.0,937.0,gauteng,johannesburg,sandton-and-bryanston-north,benmore-gardens,16644.444444444445,7993.596584845251,House,7499999.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/T4345028,9999.0
benmore-gardens,4480,5 Bed House in Benmore Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/202-waterstone-drive/T4490421,5.0,4.5,2.0,LevyR 6000,6999000.0,1.0,1.0,,800.0,gauteng,johannesburg,sandton-and-bryanston-north,benmore-gardens,,8748.75,House,8500000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/T4437028,1501000.0
benmore-gardens,4486,5 Bed House in Benmore Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/12-waterstone-drive/T4495230,5.0,5.5,2.0,LevyR 6000,7499000.0,1.0,,,966.0,gauteng,johannesburg,sandton-and-bryanston-north,benmore-gardens,,7762.939958592133,House,8500000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/T4437028,1001000.0
benmore-gardens,6750,5 Bed House in Benmore Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/T3777756,5.0,2.5,1.0,,4499000.0,1.0,1.0,,1062.0,gauteng,johannesburg,sandton-and-bryanston-north,benmore-gardens,,4236.346516007533,House,8500000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/T4437028,4001000.0
benmore-gardens,7191,5 Bed House in Benmore Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/T4463402,5.0,3.0,3.0,,7100000.0,1.0,1.0,,779.0,gauteng,johannesburg,sandton-and-bryanston-north,benmore-gardens,,9114.249037227215,House,8500000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/T4437028,1400000.0
bergbron,10230,3 Bed House in Bergbron,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/bergbron/T4354476,3.0,2.0,1.0,,1500000.0,1.0,,,442.0,gauteng,johannesburg,northcliff,bergbron,,3393.665158371041,House,1599000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/bergbron/499-rina-street/T4236150,99000.0
bergbron,10734,4 Bed House in Bergbron,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/bergbron/T4483839,4.0,2.0,1.0,,1800000.0,1.0,1.0,,976.0,gauteng,johannesburg,northcliff,bergbron,,1844.2622950819673,House,2300000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/bergbron/T4251414,500000.0
beverley,18465,3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/T4381868,3.0,3.0,2.0,RatesR 3400,2950000.0,2.0,1.0,280.0,408.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,10535.714285714286,7230.392156862745,House,3150000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/2-riverside-road/T4417965,200000.0
beverley,18467,3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/T4356748,3.0,2.5,2.0,LevyR 3000,2950000.0,1.0,,280.0,405.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,10535.714285714286,7283.950617283951,House,3150000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/2-riverside-road/T4417965,200000.0
beverley,18809,3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/T4409665,3.0,3.0,1.0,RatesR 2673,4450000.0,1.0,1.0,310.0,462.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,14354.838709677419,9632.034632034633,House,4850000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/T4314243,400000.0
beverley,18822,3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/T4276496,3.0,3.5,3.0,RatesR 2673,4495000.0,,1.0,310.0,462.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,14500.0,9729.43722943723,House,4850000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/T4314243,355000.0
beverley,16106,3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/pedmore-close/88-fountain-street/T4427319,3.0,3.5,1.0,RatesR 2673,4550000.0,1.0,1.0,310.0,462.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,14677.41935483871,9848.484848484848,House,4850000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/T4314243,300000.0
beverley,15189,3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/T4416625,3.0,2.0,1.0,LevyR 2074,2650000.0,1.0,1.0,,445.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,,5955.056179775281,House,2999000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/002-mulbarton-gardens/34-mulbarton-road/T4063227,349000.0
beverley,15213,3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/001-mulbarton-gardens/34-mulbarton-road/T4063196,3.0,2.5,,,2825000.0,,1.0,,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,,,House,2999000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/002-mulbarton-gardens/34-mulbarton-road/T4063227,174000.0
beverley,16538,3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/22-tamarisk/117-fountain-road/T4093200,3.0,2.0,1.0,LevyR 1900,2300000.0,1.0,1.0,,516.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,,4457.364341085271,House,2999000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/002-mulbarton-gardens/34-mulbarton-road/T4063227,699000.0
