,Title,Href
71,1 Bed Apartment in Dunkeld West,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/dunkeld-west/10-ss-six-bompas/6-bompas-road/T4386820
72,2 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/9049-the-tyrwhitt/39-bath-avenue/T4205872
73,3 Bed House in Parkview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkview/20-ennis-road/T4100324
74,7 Bed House in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/7-1st-street/T4388265
75,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/T4375691
76,3 Bed House in Highlands North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/highlands-north/T4489811
77,4 Bed House in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/T4125412
78,2 Bed Apartment in Oaklands,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/oaklands/T4469451
79,3 Bed Townhouse in Oaklands,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/oaklands/T4376324
80,2 Bed Apartment in Craighall,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall/T3550805
81,2 Bed Apartment in Oaklands,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/oaklands/T4478361
82,4 Bed House in The Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/orchards/T3448629
83,5 Bed House in Parkwood,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkwood/T4499326
84,1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/T4419134
85,5245 m² Land available in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/T4507606
86,2 Bed Apartment in Gresswold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/gresswold/32-kathleen-close/11-waverley-road/T4264424
87,2 Bed Apartment in Orchards,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/orchards/102-oaklands-place/66-oaklands-road/T4258296
88,1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/g28-houghton-village/6-boundary-road/T3978315
89,2 Bed Apartment in Cheltondale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/orchards/39-chelton-oaks/39-dovedale-road/T4405319
90,1 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/40-killarney-court/17-first-st/T4309015
91,1 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/1-killarney-court/25-first-street/T4166144
92,2 Bed Apartment in Gresswold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/gresswold/13-manhattan-place/17-st-benedict/T4459039
93,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/105-majestic-towers/38-empire-road/T4513037
94,1 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/72-ss-park-avenue/30-3rd-street/T4437774
95,1 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/313-glen-eagles/23-2nd-st/T4425099
96,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/26-route-82-security-village/1-tamboti-street/T4140108
97,Studio Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/31-hampshire-house/1-3rd-street/T4448065
98,1 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/107-mostyn-hall/7-princess-place/T4084836
99,1 Bed Townhouse in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/341-houghton-village/6-boundary-road/T4456572
100,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/38-empire-road/T4412460
101,1 Bed Apartment in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/13-52-burn-street/T4510380
102,1 Bed Apartment in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/13-via-siena/14-scott-street/T3887599
103,3 Bed Apartment in Highlands North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/highlands-north/g6-highlands-gardens/198-louis-botha/T4418719
104,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/86-majestic-towers/38-empire-road/T4050890
105,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/604-majestic-gate/38-empire-road/T4441619
106,2 Bed Apartment in Saxonwold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/saxonwold/47-northwold-manor/4-northwold-drive/T4470378
107,1 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/008-killarney-court/17-1st-street/T3398867
108,2 Bed Duplex in Orchards,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/orchards/e-garden-mews/65-garden-road/T4326962
109,2 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/2-ss-interlaken/40-8th-street/T4289000
110,Studio Apartment in Parktown North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown-north/64-first-avenue/30-first-avenue/T4138638
111,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/192-majestic-towers/38-empire-road/T4050889
112,1 Bed Apartment in Craighall,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall/13-1-athole/1-athole-avenue/T4467449
113,2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/1-hyde-park-heights/343-jan-smuts-avenue/T4262166
114,1 Bed Apartment in Melrose North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/6-kernick-place/41-westwood-avenue/T4193930
115,1 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/200-park-avenue/30-third-street/T4148705
116,2 Bed Apartment in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/45-scottsbridge/30-scotts-street/T4098457
117,2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/103-marian-court/392-jan-smuts-avenue/T3868429
118,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/1100-majestic-gate/38-empire-road/T3735685
119,2 Bed Apartment in Craighall,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall/74-sandhurst-gate/4-riepen/T3389983
120,1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/219-houghton-village/6-boundary-road/T4501787
121,2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/26-arlington-terrace/12-rothesay-avenue/T4452330
122,1 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/39-killarney-court/17-first-st/T4309020
123,1 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/2-killarney-court/25-first-street/T4166027
124,1 Bed Apartment in Melrose North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/13-melrose-gate/noordhoek-close/T3450767
125,2 Bed Apartment in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/13-ss-les-maisons/20-stirling-street/T4299887
126,1 Bed Apartment in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/25-22-sterling-street/T4510918
127,1 Bed Apartment in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/52-burn-street/T4510717
128,1 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/1-canterbury-close/6-north-avenue/T3905057
129,2 Bed Apartment in Parkwood,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkwood/a-dorset-place/71-dorset-rd/T4463833
130,2 Bed Apartment in Cheltondale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/orchards/43-chelton-oaks/27-cheltondale-rd/T4319052
131,1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/18-lauriston-court/188-louis-botha-avenue/T4447265
132,Studio Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/501-the-capital-on-bath/70-bath-avenue/T4084824
133,1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/129-one-rosebank/39-cradock-avenue/T4197237
134,1 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/4-tudor-place/10-buckingham-avenue/T4363305
135,1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/104-roxdale-mansions/57-2nd-avenue/T4445699
136,1 Bed Apartment in Melrose North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/14-melrose-gate/1-noordhoek-close/T4499546
137,1 Bed Apartment in Fairway,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/56-headingley/56-corlett-drive/T4389922
138,1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/558-one-rosebank/37-cradock-avenue/T4200515
139,1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/505-one-rosebank/39-cradock-avenue/T4197083
140,1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/00-broadlands/16-tyrwhitt-avenue/T4203949
141,2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/302-hyde-park-heights/343-jan-smuts-avenue/T4435301
142,3 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/26-princess-towers/5-princess-place/T4425742
143,4 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/304-parktown/3-princess-place/T4448897
144,2 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/c-brenthurst-court/39-3rd-street/T4478037
145,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/103-northdene/3-princess-place/T4184675
146,3 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/5-park-lane/T4413988
147,3 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/01-juiana/4-princess-place/T4381900
148,2 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/00-lauriston-court/186-louis-botha-avenue/T4244144
149,2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/00-braemore/8-buckingham-avenue/T4212802
150,1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/d1-broadlands/54-tyrwhitt-avenue/T4449346
