Unnamed: 0,Title,Href,Bedrooms,Bathrooms,Covered Parkings,Lounges,Storeys,Access Gate,Balcony,BIC,Electric Fencing,Kitchen,Security Post,Main Value 3,Price,Dining Areas,En-suite,Open Parkings,Alarm,Entrance Hall,Family Tv Room,Fenced,Fireplace,Garden,Guest Toilet,Intercom,Laundry,Pantry,Patio,Paving,Pet Friendly,Pool,Scullery,Staff Quarters,Storage,Study,Garages,Flatlets,Satellite,Wheel Chair Friendly,Main Value 4,Gym,Air Con,Scenic View,Club House,Deck,Built In Braai,Garden Cottage,Walk In Closet,Lapa,Irrigation System,Golf Course,Water Included,Furnished,Tv,Tennis Court,Spa Bath,Squash Court,Sea View,Jetty Berth,Borehole,Electricity Included,Floor Area,Land Area,Rates,Levy,Province,City,Suburb,Area,Sold Date,List ID
22194,2 Bed Townhouse in Randpark Ridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/randpark-ridge/22-ss-silvermere/57-ouhout-avenue/T4464609,2,1,None,1,None,✔,None,None,✔,✔,None,LevyR 1243,Sold,None,None,1,✔,None,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,92 m²,R 511,,gauteng,johannesburg,randburg-and-ferndale,randpark-ridge,2024-02-23,T4464609
22196,3 Bed Townhouse in President Ridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/president-ridge/16-ss-suntree/36-malcolm-road/T4399286,3,1.5,None,1,None,✔,None,None,None,✔,None,RatesR 547,Sold,1,None,1,None,None,✔,✔,None,✔,✔,✔,None,None,✔,✔,✔,✔,✔,None,None,None,1,None,None,None,LevyR 1379,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,108 m²,8000 m²,,,gauteng,johannesburg,randburg-and-ferndale,president-ridge,2024-02-23,T4399286
22197,3 Bed Townhouse in Ferndale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/ferndale/10-ss-fern-view-estate/4-albert-street/T4463313,3,2.5,None,1,None,✔,✔,None,✔,✔,None,RatesR 938,Sold,1,1,2,None,None,✔,None,None,None,✔,None,✔,✔,✔,✔,✔,None,None,None,None,None,2,None,None,None,LevyR 3715,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,147 m²,5592 m²,,,gauteng,johannesburg,randburg-and-ferndale,ferndale,2024-02-23,T4463313
22203,5 Bed House in Blairgowrie,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/blairgowrie/59-barkston-drive/T4463827,5,3.5,None,3,None,✔,None,None,None,✔,None,LevyR 1,Sold,1,2,4,None,None,✔,None,✔,✔,✔,None,None,None,✔,✔,✔,None,None,✔,✔,None,None,✔,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,1071 m²,R 1224,,gauteng,johannesburg,randburg-and-ferndale,blairgowrie,2024-02-23,T4463827
22210,3 Bed House in Randpark Ridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/randpark-ridge/48-redwood-street/T4441347,3,2,None,1,None,✔,None,None,✔,✔,None,RatesR 1370,Sold,1,1,2,✔,✔,✔,None,None,✔,None,✔,None,✔,None,✔,✔,None,✔,None,✔,None,2,None,None,None,LevyR 750,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,251 m²,529 m²,,,gauteng,johannesburg,randburg-and-ferndale,randpark-ridge,2024-02-23,T4441347
22217,5 Bed House in Moret,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/moret/16-magnesite-crescent/T4313902,5,4,None,2,None,✔,None,None,✔,✔,None,LevyR 1,Sold,1,2,None,✔,None,✔,None,✔,✔,None,None,✔,✔,None,None,✔,✔,✔,None,None,None,2,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,1000 m²,R 1011,,gauteng,johannesburg,randburg-and-ferndale,moret,2024-02-23,T4313902
22234,3 Bed House in Blairgowrie,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/blairgowrie/T4367328,3,3,None,2,None,✔,None,None,None,None,None,None,Sold,1,1,1,None,None,None,None,None,✔,None,None,None,None,✔,✔,✔,✔,✔,✔,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,1213 m²,R 1560,,gauteng,johannesburg,randburg-and-ferndale,blairgowrie,2024-02-23,T4367328
22236,4 Bed House in Blairgowrie,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/blairgowrie/T4237689,4,2.5,None,1,None,None,None,None,✔,✔,None,RatesR 1369,Sold,1,1,8,✔,✔,None,None,✔,✔,✔,None,None,✔,✔,✔,✔,None,None,✔,✔,None,2,None,None,None,None,None,None,None,None,✔,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,295 m²,775 m²,,,gauteng,johannesburg,randburg-and-ferndale,blairgowrie,2024-02-23,T4237689
22253,1 Bed Apartment in Windsor West,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-west/5-sunkist/32-lords-avenue/T4160416,1,1,None,1,None,None,None,None,None,None,None,RatesR 386,Sold,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,LevyR 1426,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,68 m²,68 m²,,,gauteng,johannesburg,randburg-and-ferndale,windsor-west,2024-02-23,T4160416
22285,3 Bed Townhouse in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/3-pine-wood/43-princesses-avenue/T4464032,3,2,2,1,2,✔,✔,✔,None,✔,None,RatesR 411,Sold,1,1,None,None,None,None,None,None,✔,✔,None,None,None,✔,✔,None,None,None,None,✔,None,None,None,None,None,LevyR 1558,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,137 m²,992 m²,,,gauteng,johannesburg,randburg-and-ferndale,windsor-east,2024-02-23,T4464032
